claim,evidence,label
Michael Schumacher has been paralyzed since before being old enough to drive.,"Michael Schumacher -LRB- -LSB- ˈmɪçaʔɛl ˈʃuːmaxɐ -RSB- ; born 3 January 1969 -RRB- is a German retired racing driver . racing driver racing driver He is a seven-time Formula One World Champion and is widely regarded as one of the greatest Formula One drivers of all time . Formula One Formula One World Champion List of Formula One World Drivers' Champions He won two titles with Benetton in and before moving to Ferrari where he drove for eleven years . Benetton Benetton Formula Ferrari Scuderia Ferrari According to the official Formula One website , he is `` statistically the greatest driver the sport has ever seen '' . Formula One Formula One After beginning in karting , Schumacher won the German drivers ' championships in Formula König and Formula Three before joining Mercedes in the World Sportscar Championship . Mercedes Mercedes-Benz in Formula One karting Kart racing Formula König Formula König Formula Three Formula Three World Sportscar Championship World Sportscar Championship",REFUTES
Janis Joplin had a child called the Full Tilt Boogie Band.,,NEI
Rod Laver has yet to win any Pro Slam titles.,,REFUTES
Jerry Lewis is a theater actor.,"He is known for his slapstick humor in film , television , stage and radio . slapstick slapstick",SUPPORTS
Malcolm Young is a songwriter that is retired.,"Malcolm Mitchell Young -LRB- born 6 January 1953 -RRB- is an Australian retired musician and songwriter , best known as a co-founder , rhythm guitarist , backing vocalist and songwriter for the hard rock band AC/DC . AC/DC AC/DC backing vocalist backing vocalist songwriter songwriter hard rock hard rock",SUPPORTS
"Henry VIII made radical changes to the English constitution, like the divine right of kings.","Thomas Wolsey , Thomas More , Thomas Cromwell , Richard Rich , and Thomas Cranmer all figured prominently in Henry 's administration . Thomas Wolsey Thomas Wolsey Thomas More Thomas More Thomas Cromwell Thomas Cromwell Richard Rich Richard Rich, 1st Baron Rich Thomas Cranmer Thomas Cranmer",SUPPORTS
"The Eagles put out the song, ""Lyin' Eyes,"" in 1968",,NEI
Nas is not a rapper.,"Nasir Bin Olu Dara Jones -LRB- -LSB- nɑːˈsɪər -RSB- born September 14 , 1973 -RRB- , better known by his stage name Nas -LSB- ˈnɑːz -RSB- , is an American rapper , record producer , actor , and entrepreneur . record producer record producer actor actor entrepreneur entrepreneur rapper rapping Olu Dara Olu Dara",REFUTES
Zhou Enlai was instrumental in developing the Japanese economy.,"Zhou served along with Chairman Mao Zedong and was instrumental in the Communist Party 's rise to power , and later in consolidating its control , forming foreign policy , and developing the Chinese economy . Mao Zedong Mao Zedong Chairman Chairman of the Communist Party of China Communist Party Communist Party of China Chinese economy Economy of China",REFUTES
Final Fantasy XII did not receive acclaim.,"A high-definition remaster of the International Zodiac Job System version , subtitled The Zodiac Age , will be released worldwide for the PlayStation 4 in July 2017 . PlayStation 4 PlayStation 4 high-definition remaster High-definition remasters for PlayStation consoles",REFUTES
John McEnroe is famous for his rivalry with an erstwhile world No. 1 tennis player from Sweden.,His match record of 82 -- 3 in 1984 remains the best single season win rate of the Open Era . 1984 1984 World Championship Tennis Finals - Singles best single season win rate Tennis records of the Open Era – men's singles#Single season records Open Era History of tennis#Open Era,SUPPORTS
"On March 4, 2013, Kate Nash released Girl Talk.",,SUPPORTS
License to Wed stars Robin Williams.,"License to Wed is a 2007 American romantic comedy film starring Robin Williams , Mandy Moore and John Krasinski , and directed by Ken Kwapis . Ken Kwapis Ken Kwapis Robin Williams Robin Williams Mandy Moore Mandy Moore John Krasinski John Krasinski romantic comedy film romantic comedy film",SUPPORTS
Volleyball is a solo sport.,"Volleyball is a team sport in which two teams of six players are separated by a net . Volleyball Volleyball (ball) team sport team sport Each team tries to score points by grounding a ball on the other team 's court under organized rules . rules Volleyball rules The team may touch the ball up to 3 times but individual players may not touch the ball twice consecutively . Typically , the first two touches are used to set up for an attack , an attempt to direct the ball back over the net in such a way that the serving team is unable to prevent it from being grounded in their court . The rally continues , with each team allowed as many as three consecutive touches , until either -LRB- 1 -RRB- : a team makes a kill , grounding the ball on the opponent 's court and winning the rally ; or -LRB- 2 -RRB- : a team commits a fault and loses the rally .",REFUTES
Manitoba is private property.,It is one of the three prairie provinces -LRB- with Alberta and Saskatchewan -RRB- and Canada 's fifth-most populous province with its estimated 1.3 million people . province Provinces and territories of Canada Canada Canada prairie provinces Canadian Prairies Alberta Alberta Saskatchewan Saskatchewan fifth-most populous List of Canadian provinces and territories by population,REFUTES
Claire Danes received an emu.,,NEI
San Francisco wasn't named after a Spanish saint.,,NEI
Alia Bhatt is a squid.,"Alia Bhatt -LRB- born 15 March 1993 -RRB- is a British film actress and singer who works in Bollywood . British United Kingdom Bollywood Bollywood Born into the Bhatt family , she is the daughter of filmmaker Mahesh Bhatt and actress Soni Razdan . Mahesh Bhatt Mahesh Bhatt Soni Razdan Soni Razdan Bhatt family List of Hindi film clans#Bhatt family",REFUTES
Mirka Federer played games as Miroslava Vavrincova.,,NEI
Hypothyroidism can cause babies.,,NEI
Sofia Coppola has worked with Charlize Theron.,,NEI
David Carradine appeared in more than 100 films.,His final nomination came in the category of Best Supporting Actor for portraying the titular character in Quentin Tarantino 's Kill Bill : Volume 2 -LRB- 2004 -RRB- . Kill Bill Kill Bill Best Supporting Actor Golden Globe Award for Best Supporting Actor – Motion Picture Quentin Tarantino Quentin Tarantino,SUPPORTS
Good Will Hunting was released in black and white.,,NEI
Jerry Goldsmith was nominated for National Film Awards (UK).,,NEI
Ministates include Maldives.,,NEI
Princess Margaret had at least three strokes between 1998 and 2001.,,SUPPORTS
George VI was succeeded by his eldest dog.,"Elizabeth II -LRB- Elizabeth Alexandra Mary ; born 21 April 1926 -RRB- has been Queen of the United Kingdom , Canada , Australia , and New Zealand since 6 February 1952 . Queen of the United Kingdom Monarchy of the United Kingdom Australia Australia Canada Canada New Zealand New Zealand Queen Queen regnant United Kingdom United Kingdom",REFUTES
The Directors Guild of America was disbanded in 1936.,,NEI
Hadera is in Israel.,"Hadera is a city located in the Haifa District of Israel , in the northern Sharon region , approximately 45 kilometers -LRB- 28 miles -RRB- from the major cities of Tel Aviv and Haifa . Haifa District Haifa District Israel Israel Sharon Sharon plain Tel Aviv Tel Aviv Haifa Haifa",SUPPORTS
Moscow is the world's most hated inland city.,,NEI
Popstar: Never Stop Never Stopping stars Sarah Silverman.,"Also produced by Judd Apatow , it co-stars Sarah Silverman , Tim Meadows , Imogen Poots , Joan Cusack , and Maya Rudolph . Judd Apatow Judd Apatow Sarah Silverman Sarah Silverman Tim Meadows Tim Meadows Maya Rudolph Maya Rudolph Joan Cusack Joan Cusack Imogen Poots Imogen Poots",SUPPORTS
42 is a strictly fictional film.,"42 is a 2013 American biographical sports film written and directed by Brian Helgeland about the racial integration of American professional baseball by player Jackie Robinson , who wore jersey number 42 through his Major League career . Brian Helgeland Brian Helgeland biographical Biographical film sports film sports film racial integration racial integration American United States professional baseball professional baseball player baseball player Jackie Robinson Jackie Robinson Major League Major League Baseball",REFUTES
Inhumans include the Marvel character Gorgon.,"Inhuman characters were introduced in live-action in the second season of Agents of S.H.I.E.L.D. , while the Inhuman Royal Family will be featured in the TV series Inhumans , which is scheduled to premiere in 2017 . second season Agents of S.H.I.E.L.D. (season 2) Inhumans Inhumans (TV series) Gorgon is a fictional character appearing in American comic books published by Marvel Comics . Marvel Comics Marvel Comics character Character (arts)",SUPPORTS
Champion was based off of a true events.,,NEI
Ellen Burstyn began her career in the late 1990s.,"Her career began in theatre during the late 1950s , and over the next decade included several films and television series .",REFUTES
Will Ferrell starred in The Lord of the Rings.,,NEI
Steven Soderbergh lost an Academy Award for Best Director.,"Soderbergh also directed , photographed and edited all episodes of the television drama The Knick . The Knick The Knick",REFUTES
The Wars of the Cars involved the Lancasters.,"The Wars of the Roses were a series of wars for control of the throne of England fought between supporters of two rival branches of the royal House of Plantagenet : the House of Lancaster -LRB- associated with a red rose -RRB- , and the House of York -LRB- whose symbol was a white rose -RRB- . England England House of Lancaster House of Lancaster House of York House of York throne of England throne of England House of Plantagenet House of Plantagenet white rose White Rose of York",REFUTES
Winter Passing only ever had great reviews.,"The film premiered in 2005 to mixed reviews , and was not released in the United Kingdom until 2013 , when it was released under the new title Happy Endings . 2005 2005 in film",SUPPORTS
Billboard Music has given Taylor Swift an award.,,SUPPORTS
Seth Rogen grew up in Vancouver in the 1960s.,"Seth Aaron Rogen -LRB- -LSB- ˈroʊɡən -RSB- born April 15 , 1982 -RRB- is a Canadian-American actor , filmmaker , and comedian . He began his career performing stand-up comedy during his teenage years , winning the Vancouver Amateur Comedy Contest in 1998 . Vancouver Vancouver stand-up comedy stand-up comedy",REFUTES
Adolf Hitler has never been Chancellor of Germany.,"Adolf Hitler -LRB- -LSB- ˈadɔlf ˈhɪtlɐ -RSB- ; 20 April 1889 -- 30 April 1945 -RRB- was a German politician who was the leader of the Nazi Party -LRB- Nationalsozialistische Deutsche Arbeiterpartei ; NSDAP -RRB- , Chancellor of Germany from 1933 to 1945 , and Führer -LRB- `` Leader '' -RRB- of Nazi Germany from 1934 to 1945 . Führer Führer Chancellor of Germany Chancellor of Germany Nazi Germany Nazi Germany Nazi Party Nazi Party Hitler sought Lebensraum -LRB- `` living space '' -RRB- for the German people in Eastern Europe . Lebensraum Lebensraum",REFUTES
Stars Are Blind is a Paris Hilton song.,"`` Stars Are Blind '' is the debut single recorded by American recording artist Paris Hilton . Paris Hilton Paris Hilton Paris Paris (Paris Hilton album) It was released as the lead single from her debut album Paris on June 5 , 2006 . Paris Paris (Paris Hilton album) Paris is the debut studio album by American media personality , actress and singer Paris Hilton . Paris Hilton Paris Hilton studio album studio album",SUPPORTS
Norovirus is only referred to by its scientific name.,,NEI
Cate Blanchett acted in a film directed by Shyam Benegal.,,NEI
The Bible contains writings by early Christian Greeks.,"Attitudes towards the Bible also differ amongst Christian groups . Christian Christian The Bible -LRB- from Koine Greek τὰ βιβλία , tà biblía , `` the books '' -RRB- is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans . Koine Greek Koine Greek biblía biblía sacred texts sacred texts Jews Jews product of divine inspiration Biblical inspiration God God in Abrahamic religions",SUPPORTS
